User,Date Created,Number of Likes,Number of Retweets,Source of Tweet,Tweet
Tim Cook,2022-09-28 13:15:09+00:00,6716,276,,Surfs up in Munich! It was amazing to see what local photographer Jannik Obenhoff was able to capture on iPhone 14 Pro Max at one of the only urban surfing spots in the world. https://t.co/hrDcUkr2Bj
Tim Cook,2022-09-28 10:59:24+00:00,7116,358,,Visited our latest state-of-the-art labs in Munich this morning. This chamber is where our incredible engineers conduct some of the cellular testing done to ensure we’re optimizing for performance and connectivity. https://t.co/JKRTMa23NA
Tim Cook,2022-09-28 09:15:19+00:00,3374,165,,We’re thinking about all those who are in the path of Hurricane Ian. We urge everyone to take precautions and stay safe.
Tim Cook,2022-09-28 05:05:05+00:00,28502,1506,,"Schee, dass ma wieder amoi gmiadlich zamsitzn. So happy to be back to Oktoberfest. Prost! https://t.co/AcPy8ugH9v"
Tim Cook,2022-09-27 17:50:18+00:00,6010,261,,"Thanks for the warm welcome from the team at Apple Rosenthaler Straße in Berlin! Great to see German developers Flowkey, komoot, and Dogo, who are helping people all over the world learn piano, plan a hike, or train their dog — including the very well-behaved Ninja. https://t.co/iuQ1aTYFBz"
Tim Cook,2022-09-27 06:19:26+00:00,2466,168,,"Enjoyed an amazing gospel performance from Volney Morgan &amp; New-Ye. And 12-year-old Nandi Bushell — wow, can she play! We’re so proud to support emerging new British artists and help them unlock their creative potential at Apple’s Platoon Studios. https://t.co/RsTuciXice"
Tim Cook,2022-09-27 05:38:34+00:00,3104,162,,Great to meet with our class of all-female founders at our first Foundations program in the UK. These developers are on their way to making and achieving extraordinary things. https://t.co/nkXZ9TOLzv
Tim Cook,2022-09-26 17:50:37+00:00,19361,1081,,Go AFC Richmond! https://t.co/olPDEy6RhS
Tim Cook,2022-09-26 14:31:49+00:00,4411,237,,It was great to spend time with our team members at Apple Brompton Road and Regent Street today. Their care and support for our customers always puts a smile on my face! https://t.co/gRisVO8bns
Tim Cook,2022-09-26 13:19:38+00:00,17246,1604,,We can’t wait to open our new offices in the iconic Battersea Power Station for so many of our team members in London early next year. It's a tribute to this incredible city and a reflection of our commitment to Apple's future in the UK. https://t.co/67M3qpaSTB
Tim Cook,2022-09-26 09:13:49+00:00,1740,173,,"As part of our work to address challenges in racial equity and justice, we’re excited to partner with Southbank Centre to increase representation in the arts. This is a wonderful program designed to unlock people’s full creative potential, and we’re thrilled to be a part of it. https://t.co/FKAbGmaCRK"
Tim Cook,2022-09-25 20:53:58+00:00,3084,216,,L’Shanah Tovah — a happy Rosh Hashanah to all those celebrating around the world. Here’s to a peaceful year ahead. 🍯🍎
Tim Cook,2022-09-25 16:33:16+00:00,6604,285,,It’s good to be back in London! I really enjoyed spending time with customers and with our incredible team at Apple Covent Garden this afternoon. Thanks to everyone for the warm welcome! https://t.co/JBIQfZXfNs
Tim Cook,2022-09-24 22:51:12+00:00,4861,348,,We're excited to connect with more customers in Seoul as we open Apple Jamsil in the vibrant Songpa District! 🇰🇷🙏🏻 https://t.co/9yEGjbHW1C
Tim Cook,2022-09-23 23:36:09+00:00,5175,275,,"When you encounter portraiture shot by the extraordinary Brigitte Lacombe on iPhone 14 Pro Max, you have to stop and stare. https://t.co/QX8Renwivu"
Tim Cook,2022-09-23 18:35:55+00:00,1358,146,,Sidney Poitier was an icon of cinema and a barrier-breaking civil rights leader — his documentary is a beautiful portrait of a life well-lived and an incomparable legacy. https://t.co/VWoePSDG6F
Tim Cook,2022-09-21 00:11:48+00:00,4806,384,,"Our hearts are with all the people of Puerto Rico as they come together to rebuild once again. We will donate to assist with immediate relief and ongoing recovery efforts. To everyone still in the path of Hurricane Fiona, please stay safe."
Tim Cook,2022-09-16 17:16:51+00:00,8813,544,,"Great spending time with our teams and customers at Apple Fifth Avenue, Apple Upper West Side, and Apple Upper East Side. I ❤️ NY! https://t.co/W1HNrt9cMm"
Tim Cook,2022-09-16 15:40:17+00:00,14347,940,,So excited for our customers to experience the magic of our latest products. A day like today has been years in the making — thank you to everyone that’s made it possible! https://t.co/IeRPWb0Gwp
Tim Cook,2022-09-13 03:51:32+00:00,6707,423,,"There must be magic on the pitch at @AFCRichmond because @TedLasso and the Diamond Dogs have done it again. Congratulations to the cast, crew, and all involved at @AppleTVPlus on your Emmy wins! https://t.co/owyZGen3RS"
Tim Cook,2022-09-08 18:30:53+00:00,36161,3607,,There is nothing more noble than to devote your life to the service of others. We stand with the people of the UK and Commonwealth in honoring the life and dedication to duty of her Majesty Queen Elizabeth II. May she rest in peace. https://t.co/GkLpqyovlh
Tim Cook,2022-09-08 04:58:00+00:00,8829,1557,,Steve’s legacy lives on in the company we are and the products and services we create. The Steve Jobs Archive was created as a place to spark a sense of possibility in everyone. https://t.co/MfgMuGV8IX
Tim Cook,2022-09-08 04:26:18+00:00,15253,2091,,"Here’s all the big news from the Apple Event. Introducing iPhone 14 Pro, iPhone 14, Apple Watch Ultra, Apple Watch Series 8, and AirPods Pro. https://t.co/kFDeU2bdUl"
Tim Cook,2022-09-07 22:01:39+00:00,19862,1934,,"It was a great day at Apple Park, introducing the world to products that are essential to our daily lives and that work seamlessly together. #AppleEvent https://t.co/Bolbc5V33E"
Tim Cook,2022-09-07 13:00:32+00:00,40356,3681,,Good morning! Looking forward to a stellar Apple event. https://t.co/8rwWBwX79V
Tim Cook,2022-09-02 16:40:45+00:00,6171,381,,"We're thinking of the people of Jackson, Mississippi who are struggling for that most basic of necessities this summer — clean water. Apple is donating to relief efforts on the ground aimed at distributing food and water immediately."
Tim Cook,2022-08-31 14:21:09+00:00,36688,6044,,"The floods in Pakistan and surrounding areas are devastating humanitarian disasters. Our thoughts are with those that have lost loved ones, the many displaced families, and all those affected. Apple will donate to relief and recovery efforts on the ground."
Tim Cook,2022-08-25 17:56:10+00:00,1785,188,,We're proud to welcome the second Apple Impact Accelerator class of entrepreneurs. These leaders are meeting the challenges of climate change with creative technologies and a daring optimism about what's possible. https://t.co/zTOI2M45ee
Tim Cook,2022-08-22 15:28:03+00:00,2577,227,,Our National Parks are some of our country’s greatest treasures welcoming visitors from all around the world. They connect us to nature and remind us just how precious our planet is. https://t.co/B8EJWbSKq2
Tim Cook,2022-08-20 22:24:33+00:00,1830,156,,"These aspiring coders, creators, and entrepreneurs are blazing exciting new trails. Proud to continue our longstanding partnership with @KodeWithKlossy to empower young women to write the apps of the future. Thanks, Apple Fifth Avenue team, for hosting these talented scholars! https://t.co/FM5SchTGsP"
Tim Cook,2022-08-19 17:57:34+00:00,7739,481,,"The moment when sun, sand, and ocean meet. Thank you to @eoside for the stunning photo shot on iPhone 13 Pro — a perfect image to celebrate #WorldPhotographyDay! 🌅 https://t.co/dzVFIiJNch"
Tim Cook,2022-08-19 01:58:41+00:00,3179,264,,Beautiful work from blind and low vision creators in Chicago’s Photography for All summer program. They described how taking photos on iPhone or iPad is about more than creativity – it’s a way to access visual information and explore new places. https://t.co/wPJDjOdklj https://t.co/w3rwXHjsqj
Tim Cook,2022-08-15 04:09:46+00:00,6362,402,,"Congratulations to the incredible cast and crew behind Severance and Ted Lasso on @AppleTVPlus for winning Best Drama and Best Comedy at tonight’s Hollywood Critics Association TV Awards! Proud of the Richmond footballers and Lumon’s macrodata refiners (and their outies, too)."
Tim Cook,2022-08-11 04:01:09+00:00,2981,256,,"We’re proud to celebrate Apple’s 40-year long history in Australia with projects that will help create clean energy, continue to expand coding education, and advance equity for Indigenous communities. Cheers to 40 years! https://t.co/z1qz4dj5rV"
Tim Cook,2022-08-01 00:41:31+00:00,5346,357,,"Our hearts are with everyone impacted by the devastating floods in Kentucky and surrounding states. To everyone in harm’s way, please stay safe. Apple will be donating to community relief and recovery efforts."
Tim Cook,2022-07-28 18:49:28+00:00,4488,380,,"We’re excited to open Apple Brompton Road, our new store near London’s Hyde Park! 🇬🇧 This beautiful store will have some incredible Today at Apple sessions, artist workshops, and AR experiences on tap for the community. https://t.co/R25GRIaoF9"
Tim Cook,2022-07-26 14:45:30+00:00,3613,359,,"Thirty-two years ago the Americans with Disabilities Act reshaped society in profoundly important ways. At Apple, we have always believed that the best technology should be made for everyone — and that accessibility is essential to building a more equitable world."
Tim Cook,2022-07-25 17:45:57+00:00,2128,198,,"At Apple, we feel a deep responsibility to help strengthen our communities. As part of our $2.5 billion commitment to help address the housing crisis in California, we’re proud to welcome the residents of Veterans Square to their new home. https://t.co/6GDzX0Q6ON"
Tim Cook,2022-07-20 19:17:03+00:00,2215,261,,Our health is affected by the many small actions we take every day. We want to empower you with actionable steps you can take to improve your well-being. Helping you stay healthy motivates us to keep innovating. ⌚️❤️💪 https://t.co/KqJQsEUQI9
Tim Cook,2022-07-12 20:44:30+00:00,3767,716,,"Coding is one of the most valuable skills a person can learn. It can open new doors, jumpstart careers, and help big dreams seem like achievable goals. Everyone around the world should have an opportunity to learn how to code. https://t.co/yWfNlmQwdz"
Tim Cook,2022-07-08 13:27:21+00:00,28676,3423,,I am shocked by the loss of former Japanese prime minister Shinzo Abe. He was such an important leader and I was honored to have spent time with him. Our hearts are with his loved ones—and all of our friends in Japan.
Tim Cook,2022-07-07 19:32:54+00:00,34374,3729,,"Today, Steve was awarded the Medal of Freedom, America’s highest civilian honor. He was a visionary who challenged us to see the world not for what it is, but for what it could be. We cherish his memory and we’ll continue building on his legacy. https://t.co/G6cbBdGzvY"
Tim Cook,2022-07-04 14:06:33+00:00,6740,511,,"Happy Independence Day to everyone celebrating today!🗽 Progress isn’t always linear but even in times of great challenge, America has prevailed thanks to our core principle that all people are created equal."
Tim Cook,2022-07-01 00:07:17+00:00,3130,267,,"Everyone should have the opportunity to learn to code. As part of our Racial Equity and Justice Initiative, we’re proud to have launched the first U.S. Developer Academy in Detroit. Caps off to the creators and coders who are graduating today! https://t.co/wBZJzwwUvP"
Tim Cook,2022-06-19 16:00:01+00:00,7097,434,,"Today we celebrate the wisdom, the fun, and the unfailing support of fathers everywhere. To my dad, and dads at Apple and beyond, thanks for all you do! Happy Father’s Day!"
Tim Cook,2022-06-19 14:00:02+00:00,3066,268,,"This Juneteenth, as we commemorate emancipation, we celebrate the important progress we’ve made as a society, and we recommit ourselves to the essential work of building a more just and equitable world."
Tim Cook,2022-06-16 03:22:21+00:00,1851,195,,"We’re celebrating the 20th year of Apple Camp with a focus on the environment. We’re excited to welcome parents and kids to a summer filled with exploration and creative storytelling with iPad, led by our talented teams at stores around the world. https://t.co/5HPgnaRfQE"
Tim Cook,2022-06-15 14:45:16+00:00,4033,350,,"Today marks 10 years since the announcement of DACA, which has allowed Dreamers to stay in the only home they’ve ever known. We’re proud to have hundreds of Dreamers working at Apple and we’ll continue to press for passage of the DREAM Act, which creates a path to citizenship."
Tim Cook,2022-06-14 18:52:19+00:00,7535,857,,"We’re thrilled to bring @MLS to @AppleTV! Starting next year, ⚽️ fans around the world can watch all Major League Soccer matches in one place. https://t.co/1A0l7hS9Sr"
Tim Cook,2022-06-10 01:25:42+00:00,4455,227,,Great visit to Apple World Trade Center! Already looking forward to my next trip to NYC. 🗽 https://t.co/8dot8OAda1
Tim Cook,2022-06-09 01:08:07+00:00,2758,180,,"Awesome to meet with some amazing developers in NYC who are lifting up Black voices, innovating in healthcare, and so much more. It’s an honor to celebrate our global developer community this week. #WWDC22 https://t.co/kLOD5KNumQ"
Tim Cook,2022-06-08 22:44:45+00:00,3491,203,,This was a great way to kick off the day! Apple Grand Central is an amazing space with a team as energetic as the city itself. Thanks to all the team members who shared your stories and for all you do for our customers! https://t.co/ezUoYia5PO
Tim Cook,2022-06-08 00:45:49+00:00,2165,184,,"Excited to expand our partnership with @KodeWithKlossy with Today at Apple Creative Studios and new AI/ML camps! Coding is the one true universal language we have, and we love to see young developers unlock their creative potential. Thanks to Apple SoHo for hosting us today! https://t.co/Lb1n7M6imt"
Tim Cook,2022-06-07 23:27:58+00:00,5527,291,,We’ve marked so many amazing moments at Apple Fifth Avenue in the heart of New York City. It was great to be back here with the team today! https://t.co/tXrd4UmfzE
Tim Cook,2022-06-07 02:15:25+00:00,6258,920,,"The next generation of Apple silicon is here. M2 is ready to supercharge the MacBook Air and 13-inch MacBook Pro, but there’s so much more we announced today. Greater connectivity, customization, and capabilities. Day one done, more to come! #WWDC22 https://t.co/lwYjrJcbgH"
Tim Cook,2022-06-06 23:13:57+00:00,6749,520,,Thanks to all the developers that tuned in around the world and those who joined us for a special day at Apple Park. The app economy is growing and thriving thanks to the innovations that talented developers are dreaming up! #WWDC22 https://t.co/5F1iuikyIT
Tim Cook,2022-06-06 14:00:00+00:00,22547,2867,,Developers assemble! It's going to be a great day! #WWDC22 https://t.co/OZvER1gIiN
Tim Cook,2022-06-05 22:40:33+00:00,6776,556,,"The talented student developers I met today are going places! They let their passion for coding and creative problem-solving shine through in areas as diverse as gardening, gaming, quantum physics, and more. Never stop innovating! #WWDC22 https://t.co/M0aXPCZ6Os"
Tim Cook,2022-06-05 15:00:01+00:00,5121,458,,"Earth’s resources are finite, but our opportunities to conserve them are limitless. We’re expanding our carbon-neutral footprint to our whole supply chain and innovating constantly to leave the world better than we found it. #WorldEnvironmentDay https://t.co/GKFRZNlPSa"
Tim Cook,2022-06-03 22:48:04+00:00,6058,510,,"We’ve long needed comprehensive federal privacy legislation and I’m pleased to see the growing momentum behind it. At Apple, we believe privacy is a fundamental human right, and we will keep working to support the strongest privacy bill possible."
Tim Cook,2022-06-03 21:06:03+00:00,1447,165,,"From teaching the basics of CPR to helping gardeners thrive, I’m so impressed by the app projects our WWDC Swift Student Challenge winners’ conceived of and coded. Congratulations to everyone involved. I can’t wait to see what you do next! https://t.co/2lQdV7MpKc"
Tim Cook,2022-06-01 02:47:14+00:00,2407,149,,"Glad to hear it, Marc! We need you healthy for what looks like an incredible series. https://t.co/XAZOhNlvBE"
Tim Cook,2022-05-30 15:00:00+00:00,4452,324,,Their memory will not be forgotten. Their legacy is all around us. Thank you to the fallen heroes and their families whose sacrifice forms the bedrock of our society. 🇺🇸
Tim Cook,2022-05-24 20:04:53+00:00,2407,299,,This year’s Apple Watch Pride Edition bands once again celebrate the great diversity of LGBTQ+ people around the world. We’re proud to continue supporting nonprofits doing tremendous work to advance equality and justice. We are stronger together! https://t.co/oaPVB3JEfe
